Sector,Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,
Technology,QCOM US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.68%,0.67%,0.69%,0.69%,0.73%,0.74%,0.73%,4.20%,3.88%,3.64%,3.20%,2.87%,2.83%,2.60%,0.14%,0.07%,0.05%,0.04%,0.04%,0.03%,0.03%,0.02%,0.00%,0.00%,2.32%,20.87%,21.59%,21.80%,23.86%,23.18%,22.45%,22.31%,21.29%,34.01%,33.43%,35.50%,36.01%,36.21%,50.03%,47.85%,48.21%,48.12%,48.34%,
Technology,QRVO US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48%,,0.00%,0.00%,0.00%,0.00%,1.15%,14.09%,14.98%,14.78%,14.64%,14.93%,15.17%,15.36%,15.28%,16.68%,15.41%,9.65%,12.36%,12.30%,15.83%,18.45%,18.64%,
Technology,SNPS US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.68%,3.68%,3.25%,3.17%,2.93%,2.62%,2.41%,2.33%,6.36%,1.82%,1.57%,6.49%,4.63%,4.29%,4.06%,4.79%,5.04%,5.43%,3.91%,6.07%,7.64%,7.67%,2.67%,10.01%,9.20%,10.73%,7.64%,8.54%,4.71%,2.31%,
Technology,STX US Equity,22.27%,21.78%,20.51%,19.44%,19.49%,20.06%,19.96%,33.34%,35.47%,38.06%,32.35%,26.95%,25.49%,30.34%,27.22%,33.78%,35.17%,38.07%,39.90%,31.89%,28.44%,28.33%,30.14%,32.24%,28.34%,30.04%,29.67%,40.18%,40.58%,41.30%,39.01%,36.36%,39.17%,42.20%,45.60%,47.07%,49.32%,49.81%,48.17%,47.81%,53.71%,54.18%,55.85%,55.73%,53.51%,51.21%,50.33%,49.20%,52.61%,47.87%,48.19%,
Technology,SWKS US Equity,25.37%,25.70%,25.16%,21.23%,20.69%,20.14%,15.18%,12.14%,12.12%,11.68%,9.12%,8.57%,6.60%,5.14%,4.78%,1.55%,1.51%,1.43%,1.38%,0.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Technology,TTWO US Equity,0.00%,0.00%,1.45%,2.17%,4.66%,1.46%,0.00%,6.46%,7.77%,8.19%,15.57%,13.68%,11.05%,11.60%,10.83%,9.93%,10.78%,11.04%,10.88%,11.94%,27.35%,27.52%,29.90%,27.95%,27.76%,26.23%,37.06%,16.42%,22.60%,25.23%,28.57%,27.92%,20.87%,21.23%,20.48%,20.18%,19.02%,19.22%,19.87%,17.17%,8.38%,8.00%,6.61%,1.42%,0.38%,0.22%,0.15%,0.00%,0.00%,0.00%,3.37%,
Technology,TXN US Equity,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.46%,27.75%,27.28%,26.41%,24.09%,27.74%,28.40%,28.85%,26.63%,26.82%,27.24%,29.85%,26.10%,25.95%,26.66%,27.24%,27.86%,24.98%,25.39%,26.25%,23.02%,22.27%,21.96%,21.02%,21.80%,21.16%,23.11%,23.29%,27.34%,27.28%,29.57%,35.27%,35.43%,34.17%,
Technology,WDC US Equity,1.02%,0.76%,23.27%,16.85%,11.31%,10.44%,9.96%,9.11%,10.06%,9.11%,7.92%,6.74%,6.07%,5.46%,4.90%,4.46%,4.15%,3.62%,3.11%,2.96%,18.90%,15.38%,15.02%,15.28%,14.45%,13.93%,16.20%,15.31%,16.10%,15.73%,15.37%,15.69%,15.45%,16.85%,16.62%,16.20%,14.74%,51.71%,45.27%,45.12%,44.44%,44.04%,43.05%,40.39%,38.62%,38.21%,38.82%,37.99%,39.33%,39.90%,38.86%,
Technology,XLNX US Equity,31.44%,30.20%,30.57%,31.12%,33.12%,32.34%,32.79%,26.38%,12.52%,12.38%,11.94%,11.35%,11.14%,24.46%,23.80%,24.36%,21.52%,20.65%,21.08%,21.43%,20.31%,20.28%,20.12%,19.92%,19.51%,19.47%,18.60%,18.68%,30.95%,30.90%,31.19%,31.90%,32.07%,32.02%,32.25%,32.26%,32.77%,32.12%,32.07%,32.87%,30.62%,34.15%,34.56%,33.80%,33.86%,33.76%,33.05%,32.15%,23.97%,26.22%,25.99%,
Technology,XRX US Equity,35.43%,34.73%,34.44%,31.70%,34.54%,32.69%,34.88%,37.35%,37.54%,36.44%,34.23%,38.55%,33.68%,33.20%,31.92%,29.27%,29.03%,31.06%,31.25%,29.82%,32.03%,31.87%,32.08%,29.45%,30.06%,28.98%,27.19%,28.83%,28.94%,28.27%,28.73%,29.25%,29.81%,30.73%,31.77%,28.50%,31.13%,31.38%,31.36%,34.99%,31.42%,32.26%,35.67%,34.60%,33.94%,33.59%,34.03%,35.16%,35.04%,35.24%,35.16%,
Technology,INTC US Equity,4.08%,4.11%,3.75%,3.81%,4.08%,3.95%,4.47%,3.92%,2.48%,2.44%,4.36%,4.18%,4.27%,3.94%,3.85%,3.35%,3.26%,3.27%,10.12%,10.31%,10.37%,9.93%,9.61%,15.94%,15.93%,15.66%,14.92%,14.56%,14.37%,14.37%,14.64%,14.86%,14.77%,14.62%,21.50%,22.34%,24.05%,26.05%,24.61%,22.31%,22.27%,26.19%,24.90%,21.76%,22.25%,22.34%,21.74%,20.60%,22.48%,22.50%,22.04%,
Technology,NVDA US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,0.80%,0.76%,0.71%,0.71%,0.63%,0.64%,0.60%,0.56%,0.48%,0.46%,0.43%,0.42%,0.36%,0.34%,0.32%,,0.29%,0.32%,0.30%,18.99%,20.10%,19.99%,20.22%,19.46%,19.26%,20.22%,19.75%,20.54%,21.23%,20.21%,31.72%,28.66%,23.54%,22.10%,20.50%,17.79%,17.45%,15.53%,14.57%,14.96%,18.22%,17.30%,,
,SPX Index,38.64%,39.28%,39.06%,38.22%,38.45%,37.97%,33.26%,31.60%,31.27%,30.60%,29.83%,28.46%,29.92%,29.10%,28.51%,27.92%,28.15%,27.36%,26.31%,25.50%,25.76%,25.43%,24.81%,24.32%,24.36%,24.34%,24.04%,23.33%,24.13%,23.85%,23.88%,23.55%,24.03%,24.33%,24.38%,24.23%,24.63%,24.62%,24.65%,24.53%,24.76%,25.02%,25.12%,25.14%,25.36%,25.04%,25.08%,24.88%,26.02%,26.26%,26.25%,
