Sector,Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,
Technology,AVGO US Equity,,,,46.59%,41.01%,40.90%,37.95%,37.99%,38.75%,39.16%,39.72%,30.41%,14.40%,13.24%,12.29%,10.94%,0.36%,0.28%,0.26%,0.25%,0.20%,0.15%,0.11%,0.10%,0.10%,0.10%,0.09%,0.00%,0.06%,,53.77%,52.51%,51.42%,46.51%,39.66%,36.82%,36.54%,29.19%,27.57%,27.30%,27.33%,27.22%,27.18%,32.25%,32.25%,32.03%,34.95%,34.90%,52.20%,52.95%,53.84%,
Technology,BR US Equity,33.14%,27.14%,24.91%,32.59%,16.09%,15.81%,15.23%,13.49%,13.29%,11.68%,11.23%,12.02%,11.32%,18.06%,21.34%,21.40%,30.44%,27.54%,31.88%,31.33%,28.01%,26.38%,28.65%,28.25%,27.29%,25.99%,27.47%,27.03%,24.61%,23.91%,25.22%,24.97%,27.59%,29.11%,31.94%,32.06%,32.47%,35.35%,38.27%,40.64%,39.07%,34.99%,40.08%,37.62%,34.53%,31.88%,33.82%,35.56%,32.60%,37.89%,47.70%,
Technology,CDNS US Equity,20.46%,19.40%,19.53%,18.87%,20.08%,20.14%,15.40%,24.80%,27.81%,29.34%,30.48%,30.91%,31.17%,31.95%,32.13%,31.73%,30.63%,30.02%,30.61%,24.19%,24.02%,23.85%,22.21%,19.55%,19.48%,21.78%,20.09%,13.38%,13.04%,15.55%,12.48%,21.53%,20.98%,14.65%,14.96%,14.64%,27.29%,29.15%,31.60%,33.07%,31.66%,28.40%,27.94%,30.16%,27.73%,25.51%,15.18%,18.04%,19.66%,17.86%,17.43%,
Technology,CERN US Equity,13.65%,12.63%,12.56%,11.35%,11.10%,10.36%,9.51%,7.52%,7.58%,7.52%,7.01%,5.61%,5.44%,5.18%,5.05%,3.83%,3.96%,4.22%,4.71%,4.22%,4.86%,5.34%,5.67%,5.29%,4.84%,4.73%,4.61%,4.05%,3.83%,3.64%,3.34%,2.88%,11.70%,11.35%,11.42%,10.88%,10.64%,10.11%,9.62%,10.01%,9.48%,8.97%,8.58%,8.14%,6.84%,6.75%,6.50%,6.61%,8.30%,16.22%,16.89%,
Technology,CRM US Equity,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,18.30%,18.31%,17.09%,17.03%,15.29%,15.29%,14.15%,13.96%,11.91%,12.09%,11.42%,11.09%,9.43%,23.91%,23.46%,23.15%,20.48%,15.71%,17.69%,16.41%,12.85%,10.39%,11.87%,11.80%,10.08%,10.09%,12.49%,12.54%,11.42%,10.67%,10.49%,10.55%,7.82%,13.83%,14.24%,13.83%,10.33%,20.41%,19.29%,
Technology,CTSH US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.27%,9.44%,9.01%,7.74%,9.82%,8.02%,6.92%,6.54%,6.16%,8.87%,7.11%,5.64%,5.74%,5.14%,5.06%,4.74%,4.68%,10.01%,10.66%,10.73%,
Technology,CTXS US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.33%,24.56%,23.46%,25.59%,23.79%,24.36%,24.17%,23.92%,23.27%,24.09%,22.34%,27.19%,25.72%,25.76%,36.55%,41.60%,40.54%,40.04%,37.10%,45.65%,30.22%,30.56%,
Technology,DXC US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.63%,23.87%,25.70%,25.43%,23.61%,24.22%,24.33%,26.19%,25.06%,34.13%,,
Technology,EA US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.73%,9.38%,9.82%,11.27%,10.58%,10.99%,11.03%,12.25%,11.32%,10.32%,10.15%,10.70%,9.80%,10.26%,9.79%,11.06%,7.25%,5.15%,16.31%,17.03%,14.36%,12.83%,12.83%,13.44%,12.51%,11.48%,11.56%,12.04%,11.75%,11.22%,11.10%,12.67%,11.81%,
Technology,FIS US Equity,39.40%,37.30%,45.04%,44.98%,44.15%,45.13%,36.09%,34.64%,34.29%,31.91%,30.05%,24.12%,22.85%,22.34%,38.36%,37.62%,36.35%,35.40%,35.94%,35.75%,35.85%,35.88%,34.26%,32.37%,33.60%,34.59%,33.27%,32.01%,33.48%,34.09%,35.09%,34.90%,35.84%,35.26%,35.03%,43.68%,42.74%,42.15%,41.28%,40.25%,37.89%,38.89%,37.49%,35.73%,37.19%,37.25%,38.14%,37.80%,40.13%,56.81%,24.78%,
Technology,FISV US Equity,12.92%,13.63%,15.48%,45.63%,45.40%,44.70%,44.42%,43.99%,42.92%,42.22%,41.52%,43.46%,42.29%,42.03%,43.02%,40.53%,40.63%,43.51%,41.63%,39.72%,40.03%,40.58%,40.80%,38.01%,42.34%,41.90%,41.57%,40.45%,40.62%,40.92%,40.77%,40.72%,41.26%,44.18%,45.12%,45.96%,46.58%,47.79%,48.04%,46.82%,47.83%,48.95%,50.11%,47.62%,45.28%,47.03%,49.08%,52.91%,53.59%,72.08%,29.81%,
Technology,FTNT US Equity,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,1.11%,1.17%,
Technology,HPE US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12%,,2.22%,1.82%,19.76%,20.86%,20.77%,20.64%,19.71%,20.60%,20.62%,23.40%,22.85%,22.65%,23.09%,21.37%,21.88%,23.87%,24.34%,24.94%,
Technology,HPQ US Equity,7.10%,9.99%,10.12%,9.23%,8.25%,9.15%,10.66%,15.75%,18.66%,17.21%,15.47%,13.79%,13.97%,15.23%,16.70%,17.91%,17.01%,18.32%,20.57%,23.65%,24.41%,23.55%,25.30%,26.14%,26.45%,25.21%,23.39%,21.37%,23.42%,21.72%,19.22%,18.92%,18.90%,20.77%,23.83%,8.30%,26.38%,26.53%,25.11%,23.50%,24.08%,23.77%,24.44%,23.76%,22.33%,19.05%,20.97%,17.29%,15.40%,15.77%,15.61%,
Technology,IBM US Equity,23.56%,33.86%,32.52%,29.29%,28.88%,28.31%,29.69%,30.97%,28.24%,25.87%,21.97%,21.54%,22.64%,23.48%,23.21%,23.69%,25.10%,24.51%,25.64%,25.28%,25.75%,27.01%,27.59%,25.36%,26.97%,27.70%,28.75%,26.63%,30.87%,32.46%,32.65%,28.12%,28.93%,28.42%,29.41%,28.91%,30.80%,30.63%,29.47%,29.22%,29.62%,29.04%,28.08%,32.19%,31.68%,32.19%,33.30%,32.06%,37.20%,46.58%,43.73%,
Technology,INTU US Equity,0.00%,23.68%,23.47%,25.25%,22.83%,21.94%,21.39%,24.31%,22.74%,19.83%,20.68%,22.41%,20.89%,18.39%,19.20%,20.19%,20.04%,17.93%,19.55%,21.33%,20.13%,9.75%,10.65%,11.10%,9.81%,8.59%,9.10%,12.27%,10.58%,8.89%,9.59%,9.90%,9.51%,9.42%,10.06%,22.18%,28.63%,20.24%,23.53%,27.97%,26.30%,10.06%,12.00%,21.53%,22.52%,7.78%,8.53%,8.62%,7.74%,6.48%,6.94%,
Technology,IPGP US Equity,9.46%,12.80%,13.77%,11.86%,12.28%,13.16%,11.74%,12.48%,15.53%,15.50%,10.60%,7.68%,7.86%,7.28%,5.98%,11.03%,5.15%,4.55%,11.94%,11.60%,3.16%,2.54%,2.37%,2.01%,2.67%,1.61%,1.44%,1.50%,1.33%,1.27%,1.18%,2.94%,2.62%,1.67%,1.45%,1.35%,1.24%,2.60%,2.41%,2.28%,2.10%,1.11%,2.22%,2.07%,1.93%,1.86%,1.81%,1.76%,2.61%,2.58%,2.53%,
Technology,JKHY US Equity,6.05%,7.06%,0.03%,2.78%,9.30%,6.87%,2.84%,7.91%,8.09%,6.04%,0.30%,7.01%,8.05%,24.27%,17.41%,17.52%,17.67%,10.23%,10.62%,10.05%,9.77%,8.13%,8.28%,8.24%,8.48%,0.94%,1.11%,0.61%,1.02%,0.54%,0.71%,4.86%,4.79%,2.87%,0.06%,5.87%,5.89%,0.01%,0.00%,2.91%,2.96%,2.62%,0.00%,5.22%,5.51%,0.00%,0.00%,0.00%,1.75%,0.00%,3.33%,
Technology,KLAC US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,15.36%,16.62%,19.32%,20.49%,20.65%,20.27%,20.01%,19.67%,19.09%,18.63%,17.90%,16.77%,15.96%,16.35%,15.88%,15.14%,14.64%,14.75%,14.74%,14.39%,14.14%,14.15%,13.74%,13.63%,13.46%,14.11%,65.09%,66.03%,66.11%,68.93%,68.49%,64.77%,61.62%,60.42%,58.48%,55.50%,52.97%,48.76%,45.98%,43.98%,39.68%,39.64%,39.93%,37.25%,38.00%,38.23%,
