Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
ORCL US Equity,0.1373,0.1344,0.1407,0.148,0.1526,0.1349,0.1423,0.1447,0.142,0.1216,0.1157,0.1222,0.117,0.1224,0.1187,0.1228,0.1291,0.133,0.1351,0.1379,0.1413,0.1348,0.1389,0.1416,0.1403,0.137,0.1359,0.1345,0.134,0.1292,0.1195,0.1204,0.1186,0.1019,0.0938,0.0934,0.0909,0.0831,0.0802,0.0799,0.0809,0.0782,0.0776,0.0783,0.082,0.0803,0.0845,0.0864,0.0868,0.0902,0.0937
PAYX US Equity,0.09,0.0874,0.0931,0.1002,0.0965,0.0997,0.1063,0.1117,0.0952,0.1021,0.1022,0.101,0.0838,0.0938,0.1014,0.1038,0.087,0.0969,0.106,0.1081,0.09,0.0922,0.1031,0.1049,0.0835,0.0899,0.0985,0.1003,0.083,0.1001,0.1032,0.1057,0.0915,0.1051,0.1126,0.115,0.0996,0.1138,0.1251,0.1304,0.11,0.1218,0.1182,0.1199,0.1297,0.1268,0.1323,0.1372,0.1184,0.1249,0.1344
QCOM US Equity,0.1639,0.168,0.196,0.1973,0.1956,0.1794,0.1462,0.144,0.1236,0.1157,0.0979,0.1063,0.1214,0.1179,0.1097,0.1246,0.1447,0.1448,0.1482,0.1426,0.1264,0.128,0.1291,0.1363,0.1342,0.1445,0.154,0.1486,0.1461,0.159,0.1799,0.1914,0.1851,0.1567,0.1267,0.1071,0.0985,0.0957,0.1182,0.1223,0.1284,0.1099,0.1065,0.0961,0.0797,0.0808,0.0475,0.0556,0.0539,0.1325,0.2385
QRVO US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0749,,0.0514,0.0234,0.0014,0.0002,0.0007,-0.0082,0.003,-0.0011,0.0076,0.0305,0.0186,0.0247,0.0254,0.0271,0.0467,0.0622,0.065
SNPS US Equity,0.0214,0.0367,0.0441,0.0547,0.0648,0.0635,0.0722,0.0709,0.0775,0.0806,0.0718,0.0628,0.0599,0.0563,0.0501,0.05,0.0535,0.0542,0.0556,0.0569,0.0606,0.0556,0.0609,0.0572,0.0623,0.065,0.0554,0.0588,0.0578,0.0535,0.0556,0.0539,0.0601,0.0559,0.0523,0.0502,0.0494,0.0506,0.0526,0.0556,0.0643,0.066,0.073,0.0601,0.0628,0.0696,0.064,0.0772,0.0779,0.08,0.0834
STX US Equity,0.0496,0.0959,0.1213,0.1519,0.167,0.1288,0.0963,0.0134,-0.0567,-0.0781,-0.0546,0.0732,0.1818,0.2241,0.2178,0.1541,0.1033,0.0653,0.0649,0.1072,0.2172,0.2992,0.3615,0.3586,0.2646,0.1952,0.1872,0.1949,0.1971,0.1701,0.1638,0.1559,0.1527,0.1339,0.1052,0.0788,0.0474,0.0443,0.0605,0.0837,0.1109,0.1135,0.115,0.1175,0.1241,0.1594,0.1859,0.1954,0.1734,0.1422,0.1168
SWKS US Equity,-0.0601,-0.0521,0.0506,0.057,0.0589,0.065,0.0915,0.0926,0.0815,0.0776,0.0774,0.0843,0.1134,0.1196,0.1034,0.1225,0.1358,0.1471,0.1532,0.1533,0.135,0.1225,0.1145,0.1145,0.1197,0.1252,0.1299,0.1377,0.1376,0.1519,0.1771,0.2051,0.2296,0.2472,0.2453,0.2536,0.2588,0.248,0.2476,0.2287,0.2296,0.2445,0.2497,0.2629,0.2616,0.2581,0.2521,0.2436,0.2339,0.2155,
TTWO US Equity,-0.2134,-0.2119,-0.1802,-0.1628,-0.1977,-0.0058,0.1134,0.1014,0.1029,-0.0212,-0.1318,-0.1172,-0.119,-0.0952,-0.0114,0.0501,,,,,-0.059,-0.1004,-0.2011,-0.1663,-0.1009,-0.025,0.0157,-0.0447,0.2661,0.2424,0.2607,0.2127,-0.0353,-0.1435,-0.1611,-0.1037,-0.1028,0.0157,0.0271,0.0183,0.0073,0.027,0.0629,0.0418,0.0595,0.056,0.0591,0.0615,0.0918,0.0842,0.0796
TXN US Equity,0.3075,0.1667,0.1803,0.1999,0.215,0.2107,0.1962,0.1562,0.1126,0.0896,0.0863,0.1337,0.1831,0.224,0.2413,0.2452,0.2454,0.2108,0.1696,0.1507,0.1292,0.1038,0.0945,0.0917,0.1008,0.117,0.1157,0.1238,0.1304,0.1351,0.1449,0.1642,0.1757,0.1795,0.183,0.1845,0.1906,0.1923,0.2084,0.2262,0.2463,0.2584,0.2643,0.2604,0.2872,0.2949,0.3085,0.3241,0.3178,0.3019,0.2836
WDC US Equity,0.2053,0.2262,0.1582,0.198,0.2407,0.223,0.2132,0.168,0.1285,0.1177,0.1234,0.1646,0.2194,0.2218,0.1938,0.1531,0.1155,0.0977,0.1005,0.111,0.1102,0.1677,0.1904,0.2136,0.1574,0.1302,0.1233,0.1246,0.1231,0.1185,0.1124,0.1112,0.1096,0.1065,0.0987,0.0925,0.0855,0.0418,0.034,0.032,0.0355,0.0345,0.058,0.0752,0.0918,0.1075,0.1019,0.0662,0.0287,-0.0028,-0.0302
XLNX US Equity,0.1104,0.1095,0.1091,0.1157,0.1184,0.1214,0.1267,0.1281,0.1216,0.1049,0.0924,0.0987,0.1188,0.1476,0.1698,0.1748,0.1775,0.1656,0.1517,0.1405,0.1255,0.1168,0.1157,0.1087,0.1057,0.1109,0.1154,0.1271,0.1317,0.1344,0.1337,0.1364,0.1329,0.1274,0.1194,0.1129,0.1137,0.1154,0.1229,0.1261,0.1301,0.123,0.1255,0.1318,0.1394,0.1412,0.1502,0.1579,0.1738,0.1881,0.1872
XRX US Equity,0.0571,0.0557,0.0423,0.0502,0.0289,0.0257,0.026,0.01,0.0238,0.0202,0.0153,0.0245,0.0254,0.0307,0.0347,0.0384,0.0384,0.0402,0.0423,0.0422,0.0413,0.0418,0.0411,0.0432,0.0423,0.0428,0.0428,0.0403,0.0407,0.0402,0.0404,0.0424,0.0406,0.0422,0.0419,0.0363,0.0344,0.0319,0.0305,0.0357,0.0408,0.039,0.0398,0.0494,0.0501,0.0514,0.0502,0.0529,0.0569,0.0597,0.0607
INTC US Equity,0.111,0.1186,0.1243,0.1341,0.1328,0.1384,0.1386,0.0995,0.0899,0.0814,0.0783,0.1336,0.1655,0.194,0.2031,0.1959,0.1999,0.1975,0.1942,0.1929,0.1822,0.1787,0.1639,0.1408,0.1324,0.1191,0.1117,0.107,0.1079,0.1158,0.12,0.1273,0.1295,0.1287,0.1206,0.1184,0.1181,0.1086,0.1094,0.1083,0.1147,0.1473,0.1454,0.118,0.1245,0.1103,0.1254,0.1733,0.1609,0.1565,0.149
NVDA US Equity,0.1971,0.2203,0.2345,0.2484,0.2546,0.2029,0.1554,0.0428,-0.027,-0.0344,-0.0357,0.0428,0.102,0.1051,0.1022,0.0894,0.0843,0.1149,0.1316,0.1202,0.1019,0.0925,0.0943,,,,,,0.0736,0.082,0.0898,0.0857,0.0903,0.0942,0.1051,0.1091,0.1208,0.1365,0.152,0.1957,0.2396,0.2727,0.2666,0.2771,0.3498,0.3739,0.3767,0.3097,0.233,0.1756,
SPX Index,0.0309,0.0305,0.0279,0.0213,0.0194,0.017,0.018,0.0075,0.007,0.0065,0.0072,0.019,0.0233,0.0255,0.0268,0.0279,0.0299,0.0304,0.0312,0.0315,0.0312,0.0309,0.0301,0.0285,0.029,0.0295,0.0307,0.032,0.0324,0.0322,0.0328,0.031,0.0297,0.0281,0.0266,0.0261,0.0258,0.0255,0.0256,0.0271,0.0284,0.0287,0.0283,0.0287,0.0297,0.0313,0.0336,0.0339,0.0341,0.0335,0.0323
