Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
AVGO US Equity,,,,0.4659,0.4101,0.4090,0.3795,0.3799,0.3875,0.3916,0.3972,0.3041,0.1440,0.1324,0.1229,0.1094,0.0036,0.0028,0.0026,0.0025,0.0020,0.0015,0.0011,0.0010,0.0010,0.0010,0.0009,0.0000,0.0006,,0.5377,0.5251,0.5142,0.4651,0.3966,0.3682,0.3654,0.2919,0.2757,0.2730,0.2733,0.2722,0.2718,0.3225,0.3225,0.3203,0.3495,0.3490,0.5220,0.5295,0.5384
BR US Equity,0.3314,0.2714,0.2491,0.3259,0.1609,0.1581,0.1523,0.1349,0.1329,0.1168,0.1123,0.1202,0.1132,0.1806,0.2134,0.2140,0.3044,0.2754,0.3188,0.3133,0.2801,0.2638,0.2865,0.2825,0.2729,0.2599,0.2747,0.2703,0.2461,0.2391,0.2522,0.2497,0.2759,0.2911,0.3194,0.3206,0.3247,0.3535,0.3827,0.4064,0.3907,0.3499,0.4008,0.3762,0.3453,0.3188,0.3382,0.3556,0.3260,0.3789,0.4770
CDNS US Equity,0.2046,0.1940,0.1953,0.1887,0.2008,0.2014,0.1540,0.2480,0.2781,0.2934,0.3048,0.3091,0.3117,0.3195,0.3213,0.3173,0.3063,0.3002,0.3061,0.2419,0.2402,0.2385,0.2221,0.1955,0.1948,0.2178,0.2009,0.1338,0.1304,0.1555,0.1248,0.2153,0.2098,0.1465,0.1496,0.1464,0.2729,0.2915,0.3160,0.3307,0.3166,0.2840,0.2794,0.3016,0.2773,0.2551,0.1518,0.1804,0.1966,0.1786,0.1743
CERN US Equity,0.1365,0.1263,0.1256,0.1135,0.1110,0.1036,0.0951,0.0752,0.0758,0.0752,0.0701,0.0561,0.0544,0.0518,0.0505,0.0383,0.0396,0.0422,0.0471,0.0422,0.0486,0.0534,0.0567,0.0529,0.0484,0.0473,0.0461,0.0405,0.0383,0.0364,0.0334,0.0288,0.1170,0.1135,0.1142,0.1088,0.1064,0.1011,0.0962,0.1001,0.0948,0.0897,0.0858,0.0814,0.0684,0.0675,0.0650,0.0661,0.0830,0.1622,0.1689
CRM US Equity,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.1830,0.1831,0.1709,0.1703,0.1529,0.1529,0.1415,0.1396,0.1191,0.1209,0.1142,0.1109,0.0943,0.2391,0.2346,0.2315,0.2048,0.1571,0.1769,0.1641,0.1285,0.1039,0.1187,0.1180,0.1008,0.1009,0.1249,0.1254,0.1142,0.1067,0.1049,0.1055,0.0782,0.1383,0.1424,0.1383,0.1033,0.2041,0.1929
CTSH US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1427,0.0944,0.0901,0.0774,0.0982,0.0802,0.0692,0.0654,0.0616,0.0887,0.0711,0.0564,0.0574,0.0514,0.0506,0.0474,0.0468,0.1001,0.1066,0.1073
CTXS US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2433,0.2456,0.2346,0.2559,0.2379,0.2436,0.2417,0.2392,0.2327,0.2409,0.2234,0.2719,0.2572,0.2576,0.3655,0.4160,0.4054,0.4004,0.3710,0.4565,0.3022,0.3056
DXC US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2563,0.2387,0.2570,0.2543,0.2361,0.2422,0.2433,0.2619,0.2506,0.3413,
EA US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0973,0.0938,0.0982,0.1127,0.1058,0.1099,0.1103,0.1225,0.1132,0.1032,0.1015,0.1070,0.0980,0.1026,0.0979,0.1106,0.0725,0.0515,0.1631,0.1703,0.1436,0.1283,0.1283,0.1344,0.1251,0.1148,0.1156,0.1204,0.1175,0.1122,0.1110,0.1267,0.1181
FIS US Equity,0.3940,0.3730,0.4504,0.4498,0.4415,0.4513,0.3609,0.3464,0.3429,0.3191,0.3005,0.2412,0.2285,0.2234,0.3836,0.3762,0.3635,0.3540,0.3594,0.3575,0.3585,0.3588,0.3426,0.3237,0.3360,0.3459,0.3327,0.3201,0.3348,0.3409,0.3509,0.3490,0.3584,0.3526,0.3503,0.4368,0.4274,0.4215,0.4128,0.4025,0.3789,0.3889,0.3749,0.3573,0.3719,0.3725,0.3814,0.3780,0.4013,0.5681,0.2478
