Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
SNPS US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0668,0.0368,0.0325,0.0317,0.0293,0.0262,0.0241,0.0233,0.0636,0.0182,0.0157,0.0649,0.0463,0.0429,0.0406,0.0479,0.0504,0.0543,0.0391,0.0607,0.0764,0.0767,0.0267,0.1001,0.0920,0.1073,0.0764,0.0854,0.0471,0.0231
STX US Equity,0.2227,0.2178,0.2051,0.1944,0.1949,0.2006,0.1996,0.3334,0.3547,0.3806,0.3235,0.2695,0.2549,0.3034,0.2722,0.3378,0.3517,0.3807,0.3990,0.3189,0.2844,0.2833,0.3014,0.3224,0.2834,0.3004,0.2967,0.4018,0.4058,0.4130,0.3901,0.3636,0.3917,0.4220,0.4560,0.4707,0.4932,0.4981,0.4817,0.4781,0.5371,0.5418,0.5585,0.5573,0.5351,0.5121,0.5033,0.4920,0.5261,0.4787,0.4819
SWKS US Equity,0.2537,0.2570,0.2516,0.2123,0.2069,0.2014,0.1518,0.1214,0.1212,0.1168,0.0912,0.0857,0.0660,0.0514,0.0478,0.0155,0.0151,0.0143,0.0138,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
TTWO US Equity,0.0000,0.0000,0.0145,0.0217,0.0466,0.0146,0.0000,0.0646,0.0777,0.0819,0.1557,0.1368,0.1105,0.1160,0.1083,0.0993,0.1078,0.1104,0.1088,0.1194,0.2735,0.2752,0.2990,0.2795,0.2776,0.2623,0.3706,0.1642,0.2260,0.2523,0.2857,0.2792,0.2087,0.2123,0.2048,0.2018,0.1902,0.1922,0.1987,0.1717,0.0838,0.0800,0.0661,0.0142,0.0038,0.0022,0.0015,0.0000,0.0000,0.0000,0.0337
TXN US Equity,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2046,0.2775,0.2728,0.2641,0.2409,0.2774,0.2840,0.2885,0.2663,0.2682,0.2724,0.2985,0.2610,0.2595,0.2666,0.2724,0.2786,0.2498,0.2539,0.2625,0.2302,0.2227,0.2196,0.2102,0.2180,0.2116,0.2311,0.2329,0.2734,0.2728,0.2957,0.3527,0.3543,0.3417
WDC US Equity,0.0102,0.0076,0.2327,0.1685,0.1131,0.1044,0.0996,0.0911,0.1006,0.0911,0.0792,0.0674,0.0607,0.0546,0.0490,0.0446,0.0415,0.0362,0.0311,0.0296,0.1890,0.1538,0.1502,0.1528,0.1445,0.1393,0.1620,0.1531,0.1610,0.1573,0.1537,0.1569,0.1545,0.1685,0.1662,0.1620,0.1474,0.5171,0.4527,0.4512,0.4444,0.4404,0.4305,0.4039,0.3862,0.3821,0.3882,0.3799,0.3933,0.3990,0.3886
XLNX US Equity,0.3144,0.3020,0.3057,0.3112,0.3312,0.3234,0.3279,0.2638,0.1252,0.1238,0.1194,0.1135,0.1114,0.2446,0.2380,0.2436,0.2152,0.2065,0.2108,0.2143,0.2031,0.2028,0.2012,0.1992,0.1951,0.1947,0.1860,0.1868,0.3095,0.3090,0.3119,0.3190,0.3207,0.3202,0.3225,0.3226,0.3277,0.3212,0.3207,0.3287,0.3062,0.3415,0.3456,0.3380,0.3386,0.3376,0.3305,0.3215,0.2397,0.2622,0.2599
XRX US Equity,0.3543,0.3473,0.3444,0.3170,0.3454,0.3269,0.3488,0.3735,0.3754,0.3644,0.3423,0.3855,0.3368,0.3320,0.3192,0.2927,0.2903,0.3106,0.3125,0.2982,0.3203,0.3187,0.3208,0.2945,0.3006,0.2898,0.2719,0.2883,0.2894,0.2827,0.2873,0.2925,0.2981,0.3073,0.3177,0.2850,0.3113,0.3138,0.3136,0.3499,0.3142,0.3226,0.3567,0.3460,0.3394,0.3359,0.3403,0.3516,0.3504,0.3524,0.3516
INTC US Equity,0.0408,0.0411,0.0375,0.0381,0.0408,0.0395,0.0447,0.0392,0.0248,0.0244,0.0436,0.0418,0.0427,0.0394,0.0385,0.0335,0.0326,0.0327,0.1012,0.1031,0.1037,0.0993,0.0961,0.1594,0.1593,0.1566,0.1492,0.1456,0.1437,0.1437,0.1464,0.1486,0.1477,0.1462,0.2150,0.2234,0.2405,0.2605,0.2461,0.2231,0.2227,0.2619,0.2490,0.2176,0.2225,0.2234,0.2174,0.2060,0.2248,0.2250,0.2204
NVDA US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0080,0.0076,0.0071,0.0071,0.0063,0.0064,0.0060,0.0056,0.0048,0.0046,0.0043,0.0042,0.0036,0.0034,0.0032,,0.0029,0.0032,0.0030,0.1899,0.2010,0.1999,0.2022,0.1946,0.1926,0.2022,0.1975,0.2054,0.2123,0.2021,0.3172,0.2866,0.2354,0.2210,0.2050,0.1779,0.1745,0.1553,0.1457,0.1496,0.1822,0.1730,
SPX Index,0.3864,0.3928,0.3906,0.3822,0.3845,0.3797,0.3326,0.3160,0.3127,0.3060,0.2983,0.2846,0.2992,0.2910,0.2851,0.2792,0.2815,0.2736,0.2631,0.2550,0.2576,0.2543,0.2481,0.2432,0.2436,0.2434,0.2404,0.2333,0.2413,0.2385,0.2388,0.2355,0.2403,0.2433,0.2438,0.2423,0.2463,0.2462,0.2465,0.2453,0.2476,0.2502,0.2512,0.2514,0.2536,0.2504,0.2508,0.2488,0.2602,0.2626,0.2625
